name,class,mass,fall,year,lat,long,GeoLocation
Acfer 299,LL4,180,Found,1992,27.6825,4.42028,"(27.682500, 4.420280)"
Acfer 300,H6,270,Found,1992,27.59028,4.15194,"(27.590280, 4.151940)"
Acfer 301,H4,162,Found,1992,27.52722,3.89806,"(27.527220, 3.898060)"
Acfer 302,H5,95,Found,1992,27.58694,3.96417,"(27.586940, 3.964170)"
Acfer 303,H5/6,83,Found,1992,27.60222,3.98528,"(27.602220, 3.985280)"
Acfer 304,H6,60,Found,1992,27.62361,4.02556,"(27.623610, 4.025560)"
Acfer 305,L6,369,Found,1992,27.68722,4.18361,"(27.687220, 4.183610)"
Acfer 306,L6,129,Found,1992,27.42889,3.82,"(27.428890, 3.820000)"
Acfer 307,L5,520,Found,1992,27.49083,3.89778,"(27.490830, 3.897780)"
Acfer 308,H5,74,Found,1992,27.55972,4.01028,"(27.559720, 4.010280)"
